u,x,f,h,A0prime,a4,v10,v6_old,v6_eq433,delta_v6
0.715,1.3986013986013988,0.2888136109156587,0.411271779490215,1.3986013986013983,0.1723230162386017,-3.3754882744936725,33.270984439533954,2.3774354427119393,-30.893548996822016
0.714973743435859,1.3986527605817052,0.2888333902958683,0.4111477976862575,1.3986527605817054,0.1723029398460757,-3.366944542856414,33.175064042622786,2.3786635024553777,-30.796400540167408
0.7149474868717179,1.3987041263345663,0.2888531767475239,0.4110238917184405,1.3987041263345663,0.1722828755579046,-3.358445305835416,33.07965252919072,2.379887820083641,-30.699764709107075
0.7149212303075769,1.3987554958603972,0.288872970268332,0.4109000616599355,1.3987554958603972,0.1722628233943313,-3.349982642700077,32.98466875518849,2.38110841274424,-30.603560342444247
0.7148949737434358,1.398806869159614,0.2888927708559946,0.4107763075838183,1.3988068691596145,0.1722427833755913,-3.341548700455585,32.890032370751136,2.382325293944458,-30.50770707680668
0.7148687171792948,1.3988582462326324,0.2889125785082081,0.4106526295630735,1.3988582462326324,0.1722227555219138,-3.3331350813571805,32.79565751507485,2.3835384732918077,-30.412119041783043
0.7148424606151538,1.398909627079868,0.2889323932226646,0.4105290276705883,1.398909627079868,0.1722027398535202,-3.324737921807772,32.701504641796106,2.3847479571913834,-30.316756684604723
0.7148162040510128,1.3989610117017368,0.2889522149970507,0.4104055019791555,1.398961011701737,0.1721827363906247,-3.3163625973518056,32.60762823500724,2.3859537525911114,-30.22167448241613
0.7147899474868717,1.399012400098655,0.288972043829048,0.4102820525614756,1.399012400098655,0.172162745153435,-3.308013657195928,32.51407429599372,2.387155869081074,-30.12691842691265
0.7147636909227306,1.3990637922710385,0.288991879716333,0.4101586794901536,1.3990637922710385,0.1721427661621513,-3.299694407569396,32.42087625530947,2.3883543180080014,-30.03252193730147
0.7147374343585896,1.3991151882193031,0.2890117226565773,0.4100353828376959,1.3991151882193034,0.1721227994369657,-3.2914084893189544,32.328070861906404,2.3895491123908963,-29.93852174951551
0.7147111777944486,1.3991665879438655,0.2890315726474475,0.4099121626765191,1.3991665879438653,0.172102844998064,-3.2831592824895703,32.23569211130438,2.3907402668544986,-29.84495184444988
0.7146849212303076,1.3992179914451413,0.2890514296866051,0.4097890190789383,1.3992179914451413,0.1720829028656236,-3.2749508641416005,32.143781135647856,2.391927798026162,-29.751853337621693
0.7146586646661666,1.3992693987235472,0.2890712937717062,0.4096659521171802,1.399269398723547,0.1720629730598155,-3.2667790486452493,32.052294979426705,2.3931117226598015,-29.6591832567669
0.7146324081020254,1.3993208097794996,0.289091164900403,0.4095429618633683,1.3993208097794998,0.1720430556008019,-3.258637861262328,31.961172660201363,2.394292054582538,-29.566880605618824
0.7146061515378844,1.3993722246134144,0.2891110430703412,0.4094200483895352,1.3993722246134142,0.1720231505087383,-3.250530307024326,31.87044426255128,2.3954688069227847,-29.474975455628496
0.7145798949737434,1.3994236432257083,0.2891309282791626,0.4092972117676163,1.3994236432257083,0.1720032578037723,-3.24246024101458,31.780148613103663,2.396641994725083,-29.38350661837858
0.7145536384096024,1.3994750656167978,0.2891508205245034,0.4091744520694502,1.3994750656167978,0.1719833775060439,-3.2344313559877578,31.690322819174348,2.3978116347909197,-29.29251118438343
0.7145273818454614,1.3995264917870998,0.2891707198039951,0.4090517693667795,1.3995264917870998,0.1719635096356851,-3.226447379796765,31.6010042567062,2.3989777457199533,-29.202026510986247
